spec,estimate,std_error,conf_low,conf_high,p_value,rep,scenario,att_true,treat_share,n_units,n_obs
base,0.1410686739485123,0.014159622103523907,0.11331632459090817,0.16882102330611642,3.643353294001751e-23,24,jensen_full_like,0.1112,0.4766,5000,10000
tvc,0.13032921239401146,0.014207458793950304,0.102483104846032,0.1581753199419909,6.56593792661765e-20,24,jensen_full_like,0.1112,0.4766,5000,10000
safe,0.11746531027766277,0.014492295394840371,0.08906093325045997,0.14586968730486558,6.555922924485652e-16,24,jensen_full_like,0.1112,0.4766,5000,10000
full,0.11160100246905502,0.01450542085573232,0.08317090001122351,0.14003110492688653,1.7101940395867437e-14,24,jensen_full_like,0.1112,0.4766,5000,10000
base,0.13474103932269507,0.013876411471391265,0.10754377260410974,0.1619383060412804,4.276485222525284e-22,25,jensen_full_like,0.1112,0.49,5000,10000
tvc,0.1220125713322937,0.013955066622420282,0.09466114335049294,0.14936399931409447,3.047900278550122e-18,25,jensen_full_like,0.1112,0.49,5000,10000
safe,0.11043339520415413,0.014212765412603526,0.08257688687473466,0.1382899035335736,9.459383445066051e-15,25,jensen_full_like,0.1112,0.49,5000,10000
full,0.10342509813536074,0.014238605002165169,0.07551794514102517,0.13133225112969632,4.3470774714811756e-13,25,jensen_full_like,0.1112,0.49,5000,10000
base,0.11915342320527283,0.01403804637057316,0.09163935790564623,0.14666748850489944,2.740506271607085e-17,26,jensen_full_like,0.1112,0.488,5000,10000
tvc,0.10754777861825052,0.014127847937568183,0.0798577054815584,0.13523785175494263,3.1950086470700083e-14,26,jensen_full_like,0.1112,0.488,5000,10000
safe,0.09230487534583069,0.0143249950582109,0.06422840095302308,0.1203813497386383,1.2761878920181595e-10,26,jensen_full_like,0.1112,0.488,5000,10000
full,0.08615133289535826,0.014357091190115925,0.05801195123997375,0.11429071455074277,2.104236400315299e-9,26,jensen_full_like,0.1112,0.488,5000,10000
base,0.13545636892037916,0.01442478534394588,0.10718430916152402,0.1637284286792343,8.844569998037043e-21,27,jensen_full_like,0.1112,0.4774,5000,10000
tvc,0.12370353099262321,0.014487999707792404,0.09530757335732327,0.15209948862792314,1.7844065917838796e-17,27,jensen_full_like,0.1112,0.4774,5000,10000
safe,0.10938722114953556,0.014684439748735876,0.08060624810886485,0.13816819419020626,1.1002485879905098e-13,27,jensen_full_like,0.1112,0.4774,5000,10000
full,0.1030673739227545,0.014721852422676967,0.07421307338859391,0.1319216744569151,2.8779336768043537e-12,27,jensen_full_like,0.1112,0.4774,5000,10000
base,0.14151884699991615,0.014345947453533642,0.11340130666688612,0.1696363873329462,9.538935335576509e-23,28,jensen_full_like,0.1112,0.4786,5000,10000
tvc,0.1261377894647862,0.014391454013983389,0.09793105791221438,0.15434452101735804,2.52567004581526e-18,28,jensen_full_like,0.1112,0.4786,5000,10000
safe,0.11277781161755368,0.014650781636952116,0.08406280726376676,0.1414928159713406,1.658266348155984e-14,28,jensen_full_like,0.1112,0.4786,5000,10000
full,0.10504576318226853,0.014650323075349997,0.07633165759270646,0.1337598687718306,8.582818497210559e-13,28,jensen_full_like,0.1112,0.4786,5000,10000
base,0.12998171422327187,0.014501738207020888,0.10155882962428248,0.15840459882226127,4.375818989351485e-19,29,jensen_full_like,0.1112,0.4784,5000,10000
tvc,0.1161486075200557,0.014493861689968237,0.08774116061081311,0.14455605442929828,1.3749801834724851e-15,29,jensen_full_like,0.1112,0.4784,5000,10000
safe,0.10501417134773082,0.014799295120228994,0.07600808591550262,0.13402025677995902,1.4649769577774342e-12,29,jensen_full_like,0.1112,0.4784,5000,10000
full,0.09784931170015362,0.014763157277669253,0.0689140551378215,0.12678456826248574,3.7631138656703413e-11,29,jensen_full_like,0.1112,0.4784,5000,10000
base,0.11560751146263852,0.014227756666746617,0.08772162081501551,0.14349340211026154,5.566484457999726e-16,30,jensen_full_like,0.1112,0.465,5000,10000
tvc,0.10087366388478507,0.014340164777314028,0.07276745738887974,0.1289798703806904,2.272025453013801e-12,30,jensen_full_like,0.1112,0.465,5000,10000
safe,0.08634561189889636,0.01455736844928255,0.057813694028622874,0.11487752976916984,3.2055408470986346e-9,30,jensen_full_like,0.1112,0.465,5000,10000
full,0.07856939561197292,0.014603727201488894,0.049946616257006776,0.10719217496693906,7.784229278462887e-8,30,jensen_full_like,0.1112,0.465,5000,10000
base,0.16797292770917682,0.014434753004412696,0.1396813316947966,0.19626452372355704,6.689952490024953e-31,31,jensen_full_like,0.1112,0.4732,5000,10000
