iso	year	name	coloniser
"LBR"	1928	"Liberia"	"None"
"LBR"	1929	"Liberia"	"None"
"LBR"	1930	"Liberia"	"None"
"LBR"	1931	"Liberia"	"None"
"LBR"	1932	"Liberia"	"None"
"LBR"	1933	"Liberia"	"None"
"LBR"	1934	"Liberia"	"None"
"LBR"	1935	"Liberia"	"None"
"LBR"	1936	"Liberia"	"None"
"LBR"	1937	"Liberia"	"None"
"LBR"	1938	"Liberia"	"None"
"LBR"	1939	"Liberia"	"None"
"LBR"	1940	"Liberia"	"None"
"LBR"	1941	"Liberia"	"None"
"LBR"	1942	"Liberia"	"None"
"LBR"	1943	"Liberia"	"None"
"LBR"	1944	"Liberia"	"None"
"LBR"	1945	"Liberia"	"None"
"LBR"	1946	"Liberia"	"None"
"LBR"	1947	"Liberia"	"None"
"LBR"	1948	"Liberia"	"None"
"LBR"	1949	"Liberia"	"None"
"LBR"	1950	"Liberia"	"None"
"LBR"	1951	"Liberia"	"None"
"LBR"	1952	"Liberia"	"None"
"LBR"	1953	"Liberia"	"None"
"LBR"	1954	"Liberia"	"None"
"LBR"	1955	"Liberia"	"None"
"LBR"	1956	"Liberia"	"None"
"LBR"	1957	"Liberia"	"None"
"LBR"	1958	"Liberia"	"None"
"LBR"	1959	"Liberia"	"None"
"LBR"	1960	"Liberia"	"None"
"LBR"	1961	"Liberia"	"None"
"LBR"	1962	"Liberia"	"None"
"LBR"	1963	"Liberia"	"None"
"LBR"	1964	"Liberia"	"None"
"LBR"	1965	"Liberia"	"None"
"LBR"	1966	"Liberia"	"None"
"LBR"	1967	"Liberia"	"None"
"LBR"	1968	"Liberia"	"None"
"LBR"	1969	"Liberia"	"None"
"LBR"	1970	"Liberia"	"None"
"LBR"	1971	"Liberia"	"None"
"LBR"	1972	"Liberia"	"None"
"LBR"	1973	"Liberia"	"None"
"LBR"	1974	"Liberia"	"None"
"LBR"	1975	"Liberia"	"None"
"LBR"	1976	"Liberia"	"None"
"LBR"	1977	"Liberia"	"None"
"LBR"	1978	"Liberia"	"None"
"LBR"	1979	"Liberia"	"None"
"LBR"	1980	"Liberia"	"None"
"LBR"	1981	"Liberia"	"None"
"LBR"	1982	"Liberia"	"None"
"LBR"	1983	"Liberia"	"None"
"LBR"	1984	"Liberia"	"None"
"LBR"	1985	"Liberia"	"None"
"LBR"	1986	"Liberia"	"None"
"LBR"	1987	"Liberia"	"None"
"LBR"	1988	"Liberia"	"None"
"LBR"	1989	"Liberia"	"None"
"LBR"	1990	"Liberia"	"None"
"LBR"	1991	"Liberia"	"None"
"LBR"	1992	"Liberia"	"None"
"LBR"	1993	"Liberia"	"None"
"LBR"	1994	"Liberia"	"None"
"LBR"	1995	"Liberia"	"None"
"LBR"	1996	"Liberia"	"None"
"LBR"	1997	"Liberia"	"None"
"LBR"	1998	"Liberia"	"None"
"LBR"	1999	"Liberia"	"None"
"LBR"	2000	"Liberia"	"None"
"LBR"	2001	"Liberia"	"None"
"LBR"	2002	"Liberia"	"None"
"LBR"	2003	"Liberia"	"None"
"LBR"	2004	"Liberia"	"None"
"LBR"	2005	"Liberia"	"None"
"LBR"	2006	"Liberia"	"None"
"LBR"	2007	"Liberia"	"None"
"LBR"	2008	"Liberia"	"None"
"LBR"	2009	"Liberia"	"None"
"LBR"	2010	"Liberia"	"None"
"LBR"	2011	"Liberia"	"None"
"LBR"	2012	"Liberia"	"None"
"LBR"	2013	"Liberia"	"None"
"LBR"	2014	"Liberia"	"None"
"LBR"	2015	"Liberia"	"None"
