STU_ID	weights_notvc	weights_tvc	weights_all_pscore
119106.0	1.0	1.0	1.0
119108.0	1.0	1.0	1.0
119110.0	1.0	1.0	1.0
119111.0	1.0	1.0	1.0
119114.0	1.0	1.0	1.0
119116.0	1.0	1.0	1.0
119117.0	1.0	1.0	1.0
119121.0	1.0	1.0	1.0
119126.0	1.0	1.0	1.0
119128.0	1.0	1.0	0.9999999999999999
119129.0	1.0	1.0	1.0
119130.0	1.0	1.0	1.0
119206.0	0.13308123932666505	0.24641981679783254	1.9257439286448021
119209.0	1.0	1.0	0.9999999999999999
119210.0	1.0	1.0	1.0
119213.0	1.0	1.0	1.0
119215.0	0.2661624786533301		2.726292755086865
119218.0	1.0	1.0	1.0
119219.0	1.0	1.0	0.9999999999999999
119221.0	0.9315686752866553	2.0945684427815765	7.835729302295075
119223.0	1.0	1.0	1.0
119225.0	1.0	1.0	0.9999999999999999
119228.0	1.0	1.0	1.0
119232.0	1.0	1.0	1.0
119233.0	1.0		1.0
120101.0	1.0	1.0	1.0
120102.0	1.0	1.0	1.0
120103.0	1.0	1.0	1.0
120104.0	1.0	1.0	1.0
120106.0	1.0	1.0	0.9999999999999999
120107.0	1.0	1.0	1.0
120108.0	1.0	1.0	1.0
120109.0	0.6654061966333252	0.9856792671913301	4.884828050459116
120110.0	1.0	1.0	1.0
120112.0	1.0	1.0	1.0
120115.0	1.0	1.0	1.0
120116.0	1.0	1.0	1.0
120117.0	1.0	1.0	1.0
120118.0	1.0	1.0	1.0
120119.0	1.0	1.0	1.0
120120.0	1.0	1.0	1.0
120121.0	1.0	1.0	1.0
120123.0	1.0	1.0	1.0
120124.0	1.0	1.0	1.0
120125.0	1.0	1.0	1.0
120129.0	1.0	1.0	1.0
120201.0	1.0	1.0	1.0
120202.0	1.0	1.0	1.0
120204.0	1.0	1.0	1.0
120205.0	1.0		1.0
120206.0	1.0	1.0	1.0
120207.0	1.0	1.0	1.0
120208.0	1.0	1.0	1.0
120210.0	1.0	1.0	1.0
120211.0	1.0	1.0	1.0
120212.0	1.0	1.0	1.0
120213.0	1.0	1.0	1.0
120216.0	1.0	1.0	1.0
120217.0	0.5323249573066602		3.2341114992563353
120218.0	1.0	1.0	1.0
120219.0	1.0	1.0	1.0
120220.0	1.0	1.0	1.0
120222.0	1.0	1.0	1.0
120225.0	1.0		1.0
120227.0	1.0	1.0	0.9999999999999999
120229.0	1.0	1.0	0.9999999999999999
121102.0	1.0		0.9999999999999999
121110.0	1.0	1.0	1.0
121116.0	1.0	1.0	1.0
121117.0	1.0	1.0	1.0
121119.0	1.0	1.0	1.0
121124.0	1.0	1.0	1.0
121129.0	1.0		1.0
121203.0	1.0	1.0	1.0
121204.0	3.460112222493291	1.2320990839891628	19.095968423619635
121206.0	1.0	1.0	1.0
121209.0	1.0	1.0	1.0
121210.0	1.0	1.0	1.0
121212.0	1.0	1.0	1.0
121213.0	1.0	1.0	1.0
121215.0	1.0	1.0	1.0
121218.0	1.0	1.0	0.9999999999999999
121221.0	1.0	1.0	1.0
121222.0	1.0	1.0	0.9999999999999999
121227.0	1.0	1.0	1.0
121228.0	1.0	1.0	1.0
121231.0	1.0	1.0	1.0
121232.0	3.8593559404732862	6.8997548703393115	14.035354273375564
121233.0	0.13308123932666505	0.12320990839891627	1.6233644764641153
122102.0	1.0	1.0	1.0
122103.0	1.0	1.0	1.0
122105.0	1.0	1.0	0.9999999999999999
122106.0	1.0	1.0	1.0
122109.0	1.0	1.0	1.0
122110.0	1.0	1.0	1.0
122111.0	1.0	1.0	1.0
122113.0	1.0	1.0	1.0
122118.0	1.0	1.0	1.0
122119.0	1.0	1.0	1.0
122120.0	1.0	1.0	1.0
