scenario_id,scenario_number,true_lag_order,rho_D,carryover,N,T,replication,seed,estimator_id,estimator,selection_criterion,selected_lag,selection_correct,control_spec,beta_true,beta_hat,se,ci_lower,ci_upper,coverage_cet,residual_acf1,aic,bic,nobs,n_clusters,condition_number,delta_z_lag_minus_none,delta_z_contemporaneous_minus_none,status,error_stage,error_message
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_aic","ADL, AIC-selected lag","AIC",1,TRUE,"no_Z",1,1.03880653186926,0.0167297729397569,1.0060167794378,1.07159628430072,FALSE,0.00813277674082499,-92.0825801238075,-74.0634774208568,3000,100,7.70246262581914,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_aic","ADL, AIC-selected lag","AIC",1,TRUE,"Z_lag",1,1.00891864436533,0.0165658267225941,0.976450220614912,1.04138706811574,TRUE,0.0143672171996648,-189.393996274942,-165.368526004341,3000,100,7.31130752262485,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_aic","ADL, AIC-selected lag","AIC",1,TRUE,"Z_contemporaneous",1,1.0017548381253,0.0163752067068401,0.969660022740499,1.03384965351011,TRUE,-0.00463993721816216,-155.712885636614,-131.687415366013,3000,100,7.2531103132745,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"no_Z",1,1.03880653186926,0.0167297729397569,1.0060167794378,1.07159628430072,FALSE,0.00813277674082499,-92.0825801238075,-74.0634774208568,3000,100,7.70246262581914,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"Z_lag",1,1.00891864436533,0.0165658267225941,0.976450220614912,1.04138706811574,TRUE,0.0143672171996648,-189.393996274942,-165.368526004341,3000,100,7.31130752262485,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,4,14172030,"adl_bic","ADL, BIC-selected lag","BIC",1,TRUE,"Z_contemporaneous",1,1.0017548381253,0.0163752067068401,0.969660022740499,1.03384965351011,TRUE,-0.00463993721816216,-155.712885636614,-131.687415366013,3000,100,7.2531103132745,-0.0298878875039323,-0.0370516937439556,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,5,14172031,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"no_Z",1,0.999877169082374,0.0202363994703178,0.960214554943786,1.03953978322096,TRUE,-0.00524362858846899,11.0640767703983,29.083179473349,3000,100,7.67349659623965,-0.0389359056427595,-0.0430022846676226,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,5,14172031,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"Z_lag",1,0.960941263439615,0.0205575329159602,0.920649239313336,1.00123328756589,TRUE,0.010678042046458,-144.403289493465,-120.377819222864,3000,100,7.32415401026352,-0.0389359056427595,-0.0430022846676226,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,5,14172031,"adl_1","ADL(1), fixed lag","fixed",1,TRUE,"Z_contemporaneous",1,0.956874884414752,0.0211680052269803,0.915386356545315,0.998363412284189,FALSE,-0.026434929882635,-61.2265101980699,-37.2010399274689,3000,100,7.31673475568888,-0.0389359056427595,-0.0430022846676226,"ok",NA,NA
"L1_RD20_CO00",1,1,0.2,0,100,30,5,14172031,"adl_2","ADL(2), fixed lag","fixed",2,FALSE,"no_Z",1,1.00114819977597,0.0202170605849646,0.961523489156171,1.04077291039576,TRUE,-0.00221435365369746,9.49836829584238,39.5302061340936,3000,100,19.4162243362284,-0.0393094197724418,-0.0429509713525572,"ok",NA,NA
