scenario_id,estimator_id,estimator_label,N,T,rho_Y,bias,mean_delta_z,coverage,phase_condition
P_N250_T20_RY20,fe_adl,FE-ADL within,250,20,0.2,0.0126666552932929,-0.0340749360735375,0.866,FALSE
P_N250_T20_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,250,20,0.2,0.00756950240165894,-0.0377284935659378,0.912,FALSE
P_N250_T20_RY50,fe_adl,FE-ADL within,250,20,0.5,0.0123114940882865,-0.0324993880614681,0.858,FALSE
P_N250_T20_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,250,20,0.5,0.0104843293914862,-0.0352812228647685,0.898,FALSE
P_N250_T20_RY80,fe_adl,FE-ADL within,250,20,0.8,0.00285233930825067,-0.0327947089706787,0.938,FALSE
P_N250_T20_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,250,20,0.8,0.0135941626398422,-0.0363520667665199,0.836,FALSE
P_N250_T30_RY20,fe_adl,FE-ADL within,250,30,0.2,0.00816783894709322,-0.0357209847053457,0.892,FALSE
P_N250_T30_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,250,30,0.2,0.00244192801520959,-0.0380365369281458,0.942,FALSE
P_N250_T30_RY50,fe_adl,FE-ADL within,250,30,0.5,0.00927678045293273,-0.0332355593858932,0.834,FALSE
P_N250_T30_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,250,30,0.5,0.00489050474409938,-0.0348539153330038,0.916,FALSE
P_N250_T30_RY80,fe_adl,FE-ADL within,250,30,0.8,0.00381516500370836,-0.0339259870235774,0.936,FALSE
P_N250_T30_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,250,30,0.8,0.00791189718183286,-0.0361869347428514,0.9,FALSE
P_N250_T50_RY20,fe_adl,FE-ADL within,250,50,0.2,0.00611831139009177,-0.0364237051100684,0.868,FALSE
P_N250_T50_RY20,hpj_fe_adl,Split-panel jackknife FE-ADL,250,50,0.2,0.0017539870038373,-0.0376633323439238,0.95,FALSE
P_N250_T50_RY50,fe_adl,FE-ADL within,250,50,0.5,0.00584806412085487,-0.033705954427349,0.89,FALSE
P_N250_T50_RY50,hpj_fe_adl,Split-panel jackknife FE-ADL,250,50,0.5,0.00143020251078211,-0.0344153970084945,0.95,FALSE
P_N250_T50_RY80,fe_adl,FE-ADL within,250,50,0.8,0.00418465924042731,-0.0346646223580418,0.912,FALSE
P_N250_T50_RY80,hpj_fe_adl,Split-panel jackknife FE-ADL,250,50,0.8,0.00470774618795995,-0.0357460743185982,0.908,FALSE
